"Year","Age.group","Value","Sex"
1995,"25 to 54 years",54900,"Males"
1995,"25 to 54 years",34000,"Females"
1995,"25 to 34 years",38200,"Both sexes"
1995,"25 to 34 years",45300,"Males"
1995,"25 to 34 years",31800,"Females"
1995,"35 to 44 years",47100,"Both sexes"
1995,"35 to 44 years",60400,"Males"
1995,"35 to 44 years",35400,"Females"
1995,"45 to 54 years",48200,"Both sexes"
1995,"45 to 54 years",62500,"Males"
1995,"45 to 54 years",34900,"Females"
1995,"55 to 64 years",31900,"Both sexes"
1995,"55 to 64 years",46100,"Males"
1995,"55 to 64 years",19800,"Females"
1995,"65 years and over",25900,"Both sexes"
1995,"65 years and over",33800,"Males"
1995,"65 years and over",22300,"Females"
1996,"15 years and over",31700,"Both sexes"
1996,"15 years and over",42600,"Males"
1996,"15 years and over",24100,"Females"
1996,"15 to 24 years",11000,"Both sexes"
1996,"15 to 24 years",12100,"Males"
1996,"15 to 24 years",10300,"Females"
1996,"25 to 54 years",42500,"Both sexes"
1996,"25 to 54 years",53700,"Males"
1996,"25 to 54 years",32000,"Females"
1996,"25 to 34 years",36300,"Both sexes"
1996,"25 to 34 years",44200,"Males"
1996,"25 to 34 years",29300,"Females"
1996,"35 to 44 years",45300,"Both sexes"
1996,"35 to 44 years",59500,"Males"
1996,"35 to 44 years",33900,"Females"
1996,"45 to 54 years",47600,"Both sexes"
1996,"45 to 54 years",62500,"Males"
1996,"45 to 54 years",33900,"Females"
1996,"55 to 64 years",32700,"Both sexes"
1996,"55 to 64 years",47600,"Males"
1996,"55 to 64 years",19300,"Females"
1996,"65 years and over",25500,"Both sexes"
1996,"65 years and over",33400,"Males"
1996,"65 years and over",22100,"Females"
1997,"15 years and over",31800,"Both sexes"
1997,"15 years and over",42300,"Males"
1997,"15 years and over",24300,"Females"
1997,"15 to 24 years",10700,"Both sexes"
1997,"15 to 24 years",11200,"Males"
1997,"15 to 24 years",10200,"Females"
1997,"25 to 54 years",42300,"Both sexes"
1997,"25 to 54 years",53500,"Males"
1997,"25 to 54 years",32500,"Females"
1997,"25 to 34 years",36900,"Both sexes"
1997,"25 to 34 years",44200,"Males"
1997,"25 to 34 years",29600,"Females"
1997,"35 to 44 years",45200,"Both sexes"
1997,"35 to 44 years",58500,"Males"
1997,"35 to 44 years",34000,"Females"
1997,"45 to 54 years",46800,"Both sexes"
1997,"45 to 54 years",61600,"Males"
1997,"45 to 54 years",34100,"Females"
1997,"55 to 64 years",31500,"Both sexes"
1997,"55 to 64 years",45500,"Males"
1997,"55 to 64 years",19700,"Females"
1997,"65 years and over",25800,"Both sexes"
1997,"65 years and over",33600,"Males"
1997,"65 years and over",22400,"Females"
1998,"15 years and over",32300,"Both sexes"
1998,"15 years and over",43200,"Males"
1998,"15 years and over",24400,"Females"
1998,"15 to 24 years",11700,"Both sexes"
1998,"15 to 24 years",12400,"Males"
1998,"15 to 24 years",11000,"Females"
1998,"25 to 54 years",43200,"Both sexes"
1998,"25 to 54 years",55000,"Males"
1998,"25 to 54 years",33200,"Females"
1998,"25 to 34 years",37500,"Both sexes"
1998,"25 to 34 years",45400,"Males"
1998,"25 to 34 years",30400,"Females"
1998,"35 to 44 years",46100,"Both sexes"
1998,"35 to 44 years",59200,"Males"
1998,"35 to 44 years",34500,"Females"
1998,"45 to 54 years",48000,"Both sexes"
1998,"45 to 54 years",64400,"Males"
1998,"45 to 54 years",35700,"Females"
1998,"55 to 64 years",32100,"Both sexes"
1998,"55 to 64 years",48300,"Males"
1998,"55 to 64 years",19700,"Females"
1998,"65 years and over",26000,"Both sexes"
1998,"65 years and over",33700,"Males"
1998,"65 years and over",22400,"Females"
1999,"15 years and over",33500,"Both sexes"
1999,"15 years and over",45000,"Males"
1999,"15 years and over",25600,"Females"
1999,"15 to 24 years",12200,"Both sexes"
1999,"15 to 24 years",12900,"Males"
1999,"15 to 24 years",11700,"Females"
1999,"25 to 54 years",44800,"Both sexes"
1999,"25 to 54 years",57300,"Males"
1999,"25 to 54 years",34300,"Females"
1999,"25 to 34 years",39100,"Both sexes"
1999,"25 to 34 years",47600,"Males"
1999,"25 to 34 years",31200,"Females"
1999,"35 to 44 years",48100,"Both sexes"
1999,"35 to 44 years",62100,"Males"
1999,"35 to 44 years",36300,"Females"
1999,"45 to 54 years",47900,"Both sexes"
1999,"45 to 54 years",63400,"Males"
